sexta,Pico,Entrega,Borda não,Refri não,R$ 30-34,"33-44 min"
sexta,Pico,Entrega,Borda não,Refri não,R$ 26-30,"33-44 min"
sexta,Pico,Entrega,Borda não,Refri não,R$ 22-26,"33-44 min"
sexta,Pico,Buscar,Borda não,Refri não,R$ 22-26,"33-44 min"
sexta,Pico,Entrega,Borda sim,Refri não,R$ 30-34,"33-44 min"
sexta,Pico,Entrega,Borda não,Refri não,R$ 34-38,"33-44 min"
sexta,Fim,Buscar,Borda não,Refri não,R$ 22-26,"22-33 min"
sexta,Fim,Buscar,Borda não,Refri não,R$ 22-26,"22-33 min"
sexta,Fim,Entrega,Borda não,Refri não,R$ 22-26,"22-33 min"
sábado,Inicio,Buscar,Borda não,Refri não,R$ 26-30,"10-22 min"
sábado,Inicio,Entrega,Borda não,Refri não,R$ 34-38,"33-44 min"
sábado,Inicio,Buscar,Borda não,Refri não,R$ 30-34,"33-44 min"
sábado,Inicio,Entrega,Borda não,Refri não,R$ 22-26,"33-44 min"
sábado,Inicio,Buscar,Borda sim,Refri não,R$ 30-34,"33-44 min"
sábado,Inicio,Buscar,Borda não,Refri não,R$ 26-30,"44-55 min"
sábado,Inicio,Buscar,Borda não,Refri não,R$ 14-18,"33-44 min"
sábado,Inicio,Buscar,Borda não,Refri não,R$ 30-34,"44-55 min"
sábado,Inicio,Entrega,Borda não,Refri não,R$ 30-34,"33-44 min"
sábado,Inicio,Buscar,Borda não,Refri sim,R$ 38-42,"33-44 min"
sábado,Inicio,Entrega,Borda sim,Refri não,R$ 34-38,"22-33 min"
sábado,Pico,Buscar,Borda não,Refri não,R$ 30-34,"33-44 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 22-26,"33-44 min"
sábado,Pico,Buscar,Borda não,Refri não,R$ 22-26,"33-44 min"
sábado,Pico,Buscar,Borda não,Refri não,R$ 26-30,"33-44 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 34-38,"33-44 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 26-30,"33-44 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 34-38,"33-44 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 30-34,"44-55 min"
sábado,Pico,Entrega,Borda sim,Refri não,R$ 26-30,"33-44 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 30-34,"44-55 min"
sábado,Pico,Buscar,Borda não,Refri não,R$ 22-26,"44-55 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 34-38,"44-55 min"
sábado,Pico,Entrega,Borda não,Refri não,R$ 22-26,"44-55 min"
sábado,Pico,Buscar,Borda não,Refri não,R$ 30-34,"44-55 min"
sábado,Pico,Entrega,Borda não,Refri sim,R$ 34-38,"22-33 min"
